SourceOccurrenceId	SourceTaxonId	Kingdom	Phylum	Class	Order/Subclass/Superorder	Superfamily	Family	Species	IUCN Status	Habitat	Citation	ReportedSpeciesName	ReportedSourceFamily	TypeOfIncon	LocalityID	LocalityName	YYYY	DOI	referenceUrl	ReferenceCitation
530	WORMS:504360	Animalia	Mollusca	Bivalvia	Arcida	Arcoidea	Arcidae	Anadara kagoshimensis (Tokunaga, 1906)	Not Evaluated	Marine	Al-Asif et al. (2020)	Anadara kagoshimensis	Arcidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
531	WORMS:215229	Animalia	Mollusca	Bivalvia	Arcida	Arcoidea	Arcidae	Arca ventricosa Lamarck, 1819	Not Evaluated	Marine	Wong and Arshad (2011)	Arca ventricosa Lamarck, 1819	Arcidae		1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
532	WORMS:504394	Animalia	Mollusca	Bivalvia	Arcida	Arcoidea	Arcidae	Barbatia amygdalumtostum (Röding, 1798)	Not Evaluated	Marine	Wong and Arshad (2011)	Barbatia fusca (Bruguière, 1789)	Arcidae	Unaccepted 	1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
533	WORMS:504471	Animalia	Mollusca	Bivalvia	Arcida	Arcoidea	Arcidae	Tegillarca granosa (Linnaeus, 1758)	Not Evaluated	Marine	Hamli et al. (2012a)	Anadara granosa	Arcidae	Unaccepted	1733038	Sarawak	2012	https://doi.org/10.18517/ijaseit.2.4.202	http://ijaseit.insightsociety.org/index.php?option=com_content&view=article&id=9&Itemid=1&article_id=202	Hamli, H., Idris, M. H., Abu Hena, M. K., & Wong, S. K. (2012a). Diversity of edible mollusc (Gastropoda and Bivalvia) at selected divison of Sarawak, Malaysia. International Journal on Advanced Science, Engineering and Information Technology, 2(4), 5–7. 
534	WORMS:504471	Animalia	Mollusca	Bivalvia	Arcida	Arcoidea	Arcidae	Tegillarca granosa (Linnaeus, 1758)	Not Evaluated	Marine	Hamli et al. (2012b)	Anadara granosa	Arcidae	Unaccepted	1733038	Sarawak	2012	https://dx.doi.org/10.3923/ijzr.2012.52.58	https://scialert.net/abstract/?doi=ijzr.2012.52.58	Hamli, Hadi, Idris, M. H., Abu Hena, M. K., & Wong, S. K. (2012b). Taxonomic study of edible bivalve from selected division of Sarawak, Malaysia. International Journal of Zoological Research, 8(1), 52-58.
535	WORMS:504471	Animalia	Mollusca	Bivalvia	Arcida	Arcoidea	Arcidae	Tegillarca granosa (Linnaeus, 1758)	Not Evaluated	Marine	Shabdin et al. (2014)	Anadara granosa		Unaccepted	1735616	Sampadi Island	2014		https://www.researchgate.net/publication/269395974_Marine_Gastropod_and_Bivalves_of_Sampadi_Island_Lundu_Sarawak	Shabdin, M.L., Azizil, A., Abg, F., Atiqah, S., & Rahim, A. (2014). Marine gastropod and bivalves of Sampadi Island, Lundu, Sarawak. Proceedings of Aquatic Science Colloquium on Pulau Sampadi Marine Life Expedition, September, 75–87.
536	WORMS:137739	Animalia	Mollusca	Bivalvia	Cardiida	Cardioidea	Cardiidae	Parvicardium sp.1 Monterosato, 1884	Not Evaluated	Marine	Al-Asif et al. (2020)	Parvicardium sp.			1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
537	WORMS:207673	Animalia	Mollusca	Bivalvia	Cardiida	Cardioidea	Cardiidae	Tridacna crocea Lamarck, 1819	Least Concern	Marine	Wong and Arshad (2011)	Tridacna (Chametrachea) crocea Lamarck, 1819	Tridacnidae	Alternate representation	1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
538	WORMS:207675	Animalia	Mollusca	Bivalvia	Cardiida	Cardioidea	Cardiidae	Tridacna maxima (Röding, 1798)	Least Concern	Marine	Wong and Arshad (2011)	Tridacna (Chametrachea) maxima (Röding, 1798)	Tridacnidae	Alternate representation	1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
539	WORMS:207674	Animalia	Mollusca	Bivalvia	Cardiida	Cardioidea	Cardiidae	Tridacna squamosa Lamarck, 1819	Least Concern	Marine	Wong and Arshad (2011)	Tridacna squamosa Lamarck, 1819	Tridacnidae	FamilyChanged	1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
